"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"Pim",05/21/2016,2,"",119,"Double Espresso","F","N","f",2013,5,"Ire","Mr T. Jones","B.","Mastercraftsman*Ire","Danehill Dancer*Ire","Bon Expresso*Ire","Spectrum*Ire","Slam Dunk Racing, Steven Keh & Gary Vacc","",0,0.000,04/23/2016,"","L","",0.00,0,"Gutierrez Mario","O'Neill Doug",12,9.960,1,0,1,0,2.947,2,0,1,0,12.907,3,0,2,0,0.000,0,0,0,0,9.960,1,0,1,0,2.947,2,0,1,0,0.000,0,0,0,0,9.960,1,0,1,0,"",0,0.000,0,0,0,0.00,0.00,234,0.000,33,41,30,0.14,0.44,0,0.000,0,0,0,0.00,0.00,254,0.000,46,38,27,0.18,0.44,0,0.000,0,0,0,"",,0,12/04/2015,37.602,"N","2015-16",0,0.00,0.00,269,0.22,1.97
"Pim",05/21/2016,2,"",119,"Believe Indeed","D","N","f",2013,5,"Ky","Mr. & Mrs. Bertram R. Firestone","B.","Posse","Silver Deputy","True Believer","Smart Strike","Mr. & Mrs. Bertram R. Firestone","",0,0.000,04/30/2016,"","L","",0.00,0,"Centeno D E","Delacour Arnaud",13,4.450,3,0,1,0,0.000,0,0,0,0,4.450,3,0,1,0,0.000,0,0,0,0,4.200,2,0,1,0,0.250,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,399,0.000,91,77,64,0.23,0.58,0,0.000,0,0,0,0.00,0.00,96,0.000,26,11,17,0.27,0.56,0,0.000,0,0,0,"",,0,,5.000,"N","2015-16",2,0.00,0.00,114,0.32,2.40
"Pim",05/21/2016,3,"",120,"All Alone","D","N","g",2011,3,"Md","Dr. & Mrs. Bruce C. Wells","Dk. b or br","Oratory","Pulpit","The Cat's Out","Reputed Testamony","Bruce Wells","",0,0.000,05/08/2016,"","L","",0.00,0,"Llagas W E","Davis Samuel G",1,2.520,1,0,0,0,68.303,9,3,0,2,70.823,10,3,0,2,28.853,4,1,0,2,26.150,4,1,0,0,44.673,6,2,0,2,1.800,1,0,0,0,1.800,1,0,0,0,"",3,0.000,0,0,0,0.00,0.00,15,0.000,1,1,0,0.07,0.13,1,0.000,0,0,0,0.00,0.00,14,0.000,1,0,1,0.07,0.14,0,0.000,0,0,0,"",,0,10/17/2015,3.500,"N","2015-16",4,0.00,0.00,24,0.08,1.88
"Pim",05/21/2016,3,"",120,"Good Luck Gus","D","Y","c",2012,4,"NY","Fred W. Hertrich III","B.","Lookin At Lucky","Smart Strike","Tacticmove","Deputy Minister","Michael Dubb, Bethlehem Stables LLC & Th","SARAUG",13,97.000,04/09/2016,"","L","",0.00,0,"Saez L","Rodriguez Rudy R",2,66.000,2,1,0,0,202.037,5,1,1,1,598.096,14,5,3,1,217.059,4,2,1,1,0.000,0,0,0,0,598.096,14,5,3,1,0.000,0,0,0,0,138.037,4,2,0,1,"",0,0.000,0,0,0,0.00,0.00,592,0.000,89,87,81,0.15,0.43,7,0.000,1,2,1,0.14,0.57,244,0.000,58,44,38,0.24,0.57,0,0.000,0,0,0,"",,0,12/31/2015,20.000,"N","2015-16",0,0.00,0.00,27,0.26,3.54
"Pim",05/21/2016,3,"",115,"Combat Diver","D","Y","c",2012,2,"Md","Dark Hollow Farm","Ch.","Line of David","Lion Heart","Safe Journey","Flatter","Phantom Racing Stables LLC","EASMAY",14,100.000,04/22/2016,"","L","",0.00,5,"Luzzi L J","Potts Wayne",3,54.946,5,2,2,1,41.450,7,0,2,1,142.696,15,3,4,2,8.000,3,0,0,1,0.300,1,0,0,0,142.396,14,3,4,2,0.000,0,0,0,0,77.730,6,2,1,1,"",16,0.000,1,1,3,0.06,0.31,304,0.000,33,32,44,0.11,0.36,8,0.000,0,0,0,0.00,0.00,223,0.000,22,34,32,0.10,0.39,0,0.000,0,0,0,"",,0,11/11/2015,3.500,"N","2015-16",3,0.00,0.00,17,0.06,0.26
"Pim",05/21/2016,3,"",120,"Photogenic","D","N","g",2010,4,"Md","Ayres Fountain Spring Farm","Ch.","Fantasticat","Storm Cat","Belle of Claxton","Devil His Due","Richard J. Hackerman","",0,0.000,04/17/2016,"","L","",0.00,0,"Hole T M","Dilodovico Damon R",4,8.170,4,0,1,1,20.400,9,1,1,1,93.600,47,4,4,7,11.070,7,1,0,0,0.000,1,0,0,0,93.600,46,4,4,7,39.440,11,2,2,1,20.725,7,1,1,2,"",10,0.000,0,0,0,0.00,0.00,190,0.000,16,30,19,0.08,0.34,3,0.000,0,0,0,0.00,0.00,45,0.000,2,9,4,0.04,0.33,0,0.000,0,0,0,"",,0,12/20/2015,0.000,"N","2015-16",0,0.00,0.00,18,0.00,0.00
"Pim",05/21/2016,3,"",120,"Colton's Grand","D","N","g",2012,4,"WV","Nancy E. Brown","B.","Grand Reserve","Theatrical*Ire","She's My Buckaroo","Buckaroo","William B. Bayne, Jr.","",0,0.000,05/08/2016,"","L","",0.00,0,"Serpa A","Campbell William A",5,20.020,7,2,0,2,12.260,5,1,0,0,32.380,13,3,0,2,4.510,2,0,0,2,0.000,2,0,0,0,32.380,11,3,0,2,0.000,0,0,0,0,0.000,0,0,0,0,"",11,0.000,0,3,1,0.00,0.36,159,0.000,8,14,25,0.05,0.30,1,0.000,0,0,0,0.00,0.00,21,0.000,5,2,4,0.24,0.52,0,0.000,0,0,0,"",,0,12/19/2015,1.000,"N","2015-16",0,0.00,0.00,0,0.00,0.00
"Pim",05/21/2016,3,"",119,"Jump Jive an Wail","D","N","c",2013,4,"Md","James Bryant & Linda Davis","B.","Jump Start","A.P. Indy","Snunner","Yarrow Brae","Jalin Stable & James M. Courtney","",0,0.000,04/30/2016,"","L","",0.00,0,"Carrasco V R","Eppler Mary E",6,52.000,4,1,1,2,0.000,1,0,0,0,52.000,5,1,1,2,0.000,1,0,0,0,0.000,0,0,0,0,52.000,5,1,1,2,0.000,0,0,0,0,41.080,3,1,0,2,"",27,0.000,2,6,3,0.07,0.41,409,0.000,71,57,51,0.17,0.44,6,0.000,0,2,2,0.00,0.67,101,0.000,15,20,14,0.15,0.49,0,0.000,0,0,0,"",,0,11/29/2015,10.000,"N","2015-16",2,0.00,0.00,10,0.10,0.42
"Pim",05/21/2016,3,"",117,"Big House","D","N","g",2012,3,"Ky","Kuehne Racing","Dk. b or br","Eskendereya","Giant's Causeway","Not in My House","Chester House","Tage Boohit","",0,0.000,05/07/2016,"","L","",0.00,7,"Gomez K","Gonzalez Claudio A",7,64.470,7,3,1,2,10.010,8,0,0,1,74.480,15,3,1,3,22.610,5,1,1,1,0.000,1,0,0,0,74.480,14,3,1,3,0.000,0,0,0,0,21.560,4,1,1,0,"",11,0.000,3,0,2,0.27,0.45,175,0.000,17,20,24,0.10,0.35,7,0.000,2,0,2,0.29,0.57,149,0.000,28,19,26,0.19,0.49,0,0.000,0,0,0,"",,0,12/20/2015,0.000,"N","2015-16",3,7.07,0.67,48,0.13,1.05
"Pim",05/21/2016,3,"",115,"Dothat Dance","D","N","g",2013,2,"Ky","Chandley Farm LLC","B.","Louis Quatorze","Sovereign Dancer","Guess the Dance","Austin Powers*Ire","Charisma Stable, LLC","",0,0.000,04/13/2016,"","L","",0.00,0,"Cintron A","Smith Hamilton A",8,33.434,5,1,0,2,13.398,5,0,0,1,46.832,10,1,0,3,10.400,2,0,0,1,1.600,1,0,0,0,45.232,9,1,0,3,0.000,0,0,0,0,32.134,5,1,0,1,"",16,0.000,3,1,3,0.19,0.44,156,0.000,21,19,15,0.13,0.35,11,0.000,4,0,0,0.36,0.36,82,0.000,14,5,11,0.17,0.37,0,0.000,0,0,0,"",,0,11/28/2015,2.500,"N","2015-16",4,7.00,0.50,14,0.43,6.76
